schoolyear,east_side,edison,brandywine,christina,colonial,delaware
2015,23.39,20.93,41.61,29.23,30.5,38.76
2016,17.79,23.95,45.05,31.26,31.91,43.71
2017,14.06,22.3,46.04,33.25,30.21,44.92
2018,20.43,17.95,44.35,34.2,26.53,44.4
2019,15.06,10.68,42.7,36.5,26.36,44.12
2021,23.81,,27.31,22.17,14.7,26.24
