year,source_file,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,occupied_units
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003000900,7,Public Housing,2,NA,DE Delaware New Castle County 000900,10003000900,32,67,21,97,8,14,3.1,65,313,583,15466,4997,16,11,21,16,37,43,,48,21,95,81,5,71,90,71,13,60,12,10,57,10,24,,95,81,5,,5,,10,,10,0,29,173,90,197,,33,67,14,24,97,3,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,21
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003001100,7,Public Housing,2,NA,DE Delaware New Castle County 001100,10003001100,65,100,65,100,6,9,1,67,403,583,17605,17079,,18,28,20,34,,,100,30,94,55,,,77,,,5,4,,,,100,5,82,66,,,18,5,11,,15,0,25,43,100,61,97,3,,,14,22,4,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,65
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003001200,7,Public Housing,2,NA,DE Delaware New Castle County 001200,10003001200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003001400,7,Public Housing,2,NA,DE Delaware New Castle County 001400,10003001400,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003001500,7,Public Housing,2,NA,DE Delaware New Castle County 001500,10003001500,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003001600,7,Public Housing,2,NA,DE Delaware New Castle County 001600,10003001600,18,67,12,97,5,25,2.5,30,201,583,8839,3536,22,33,,22,22,42,,33,12,100,92,,67,75,58,20,100,20,8,58,17,17,,100,92,,,,,8,,8,0,4,104,100,178,17,50,33,17,29,84,4,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,12
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003001902,7,Public Housing,2,NA,DE Delaware New Castle County 001902,10003001902,181,100,181,100,5,12,2.6,468,269,583,11733,4538,24,26,22,9,19,46,6,44,17,97,85,2,67,90,65,19,77,12,15,62,17,7,,97,93,,,3,,3,1,4,0,16,88,97,113,19,46,35,6,23,81,9,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,181
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002100,7,Public Housing,2,NA,DE Delaware New Castle County 002100,10003002100,18,70,12,97,5,8,3.3,39,279,583,11908,3664,30,,40,,30,58,,25,16,100,75,,92,100,92,8,,5,,92,8,,,100,100,,,,,,,0,0,,77,100,210,,17,83,17,47,95,9,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,13
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002200,7,Public Housing,2,NA,DE Delaware New Castle County 002200,10003002200,20,67,13,97,6,8,3,39,389,583,16733,5578,8,17,17,25,33,62,8,23,23,100,69,,62,100,62,9,,8,23,46,15,15,,100,92,,,,,8,,8,0,62,149,100,200,,31,69,23,41,95,13,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,13
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002300,7,Public Housing,2,NA,DE Delaware New Castle County 002300,10003002300,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002400,7,Public Housing,2,NA,DE Delaware New Castle County 002400,10003002400,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
